
YEAR_or_SEASON,Category,Group,Count,Percent
2010-11,Age,<18 Years,5,71.4286
2010-11,Age,>=18 Years,2,28.5714
2011-12,Age,<18 Years,293,91.2773
2011-12,Age,>=18 Years,28,8.72274
2012-13,Age,<18 Years,21,95.4545
2012-13,Age,>=18 Years,1,4.54545
2013-14,Age,<18 Years,X,X
2014-15,Age,<18 Years,3,50
2014-15,Age,>=18 Years,3,50
2015-16,Age,<18 Years,18,78.2609
2015-16,Age,>=18 Years,5,21.7391
2016-17,Age,<18 Years,64,96.9697
2016-17,Age,>=18 Years,2,3.0303
2017-18,Age,<18 Years,16,94.1176
2017-18,Age,>=18 Years,1,5.88235
